City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Brae,GB,2021-09-22 22:45:46,60.3964,-1.353,53.51,90,100,24.49
68,Tekkali,IN,2021-09-22 22:45:46,18.6167,84.2333,78.84,90,98,2.51
69,Leningradskiy,RU,2021-09-22 22:45:05,69.3833,178.4167,25.43,68,96,4.79
70,Mount Gambier,AU,2021-09-22 22:45:47,-37.8333,140.7667,53.51,87,75,12.66
71,Lakatoro,VU,2021-09-22 22:45:47,-16.0999,167.4164,77.41,84,100,11.1
72,Miram Shah,PK,2021-09-22 22:45:47,33.0086,70.0697,76.84,70,0,2.37
73,Ribeira Grande,PT,2021-09-22 22:44:28,38.5167,-28.7,71.65,77,10,15.7
74,Isangel,VU,2021-09-22 22:45:48,-19.55,169.2667,77.11,50,90,0.0
75,Mandalgovi,MN,2021-09-22 22:45:48,45.7625,106.2708,46.54,60,100,14.41
76,Bo Rai,TH,2021-09-22 22:45:48,12.5728,102.5371,74.23,99,100,2.73
77,Cedar City,US,2021-09-22 22:45:49,37.6775,-113.0619,81.57,12,1,14.97
78,Bathsheba,BB,2021-09-22 22:45:49,13.2167,-59.5167,83.01,74,20,11.5
79,Aswan,EG,2021-09-22 22:45:49,24.0934,32.907,87.1,15,0,11.5
80,Takoradi,GH,2021-09-22 22:45:50,4.8845,-1.7554,76.46,90,100,5.59
81,Talnakh,RU,2021-09-22 22:45:50,69.4865,88.3972,32.43,80,98,7.49
82,Baykit,RU,2021-09-22 22:45:51,61.67,96.37,27.75,97,82,3.33
83,Cabo San Lucas,MX,2021-09-22 22:45:51,22.8909,-109.9124,91.62,73,17,5.95
84,Kapaa,US,2021-09-22 22:43:21,22.0752,-159.319,84.18,69,40,5.01
85,Narsaq,GL,2021-09-22 22:45:51,60.9167,-46.05,37.62,90,100,1.57
86,Mataura,NZ,2021-09-22 22:45:52,-46.1927,168.8643,54.48,40,7,2.86
87,Bakal,RU,2021-09-22 22:45:52,54.9417,58.8083,33.24,87,31,3.83
88,Kaitangata,NZ,2021-09-22 22:45:52,-46.2817,169.8464,58.53,45,3,3.42
89,Port Alfred,ZA,2021-09-22 22:44:07,-33.5906,26.891,60.37,82,36,20.33
90,Mar Del Plata,AR,2021-09-22 22:45:19,-38.0023,-57.5575,55.42,88,90,8.05
91,Hofn,IS,2021-09-22 22:45:53,64.2539,-15.2082,41.54,56,23,13.51
92,Banda Aceh,ID,2021-09-22 22:45:53,5.5577,95.3222,78.37,74,100,6.76
93,General Cepeda,MX,2021-09-22 22:45:17,25.3833,-101.45,67.8,62,80,10.51
94,Wilmington,US,2021-09-22 22:41:54,34.2257,-77.9447,78.94,86,75,6.91
95,Port Lincoln,AU,2021-09-22 22:45:54,-34.7333,135.8667,55.8,71,1,12.73
96,Provideniya,RU,2021-09-22 22:45:54,64.3833,-173.3,35.71,55,20,4.47
97,Guayabal,CO,2021-09-22 22:45:55,5.031,-74.8868,79.36,81,77,2.42
98,Ust-Maya,RU,2021-09-22 22:45:55,60.4167,134.5333,41.11,70,18,2.57
99,Curtisoara,RO,2021-09-22 22:45:55,44.5,24.3333,50.92,77,23,5.1
100,Coquimbo,CL,2021-09-22 22:43:56,-29.9533,-71.3436,58.73,67,0,10.36
101,Meadow Lake,US,2021-09-22 22:45:05,34.8014,-106.5436,84.97,23,0,6.26
102,Semey,KZ,2021-09-22 22:41:15,50.4111,80.2275,37.67,63,80,4.41
103,Severo-Kurilsk,RU,2021-09-22 22:44:08,50.6789,156.125,48.16,95,100,10.18
104,Yen Bai,VN,2021-09-22 22:45:56,21.7,104.8667,73.85,94,31,1.66
105,Port Macquarie,AU,2021-09-22 22:44:24,-31.4333,152.9167,57.16,44,0,5.48
106,Tukums,LV,2021-09-22 22:45:57,56.9669,23.1553,34.95,92,88,3.74
107,Jamestown,US,2021-09-22 22:41:22,42.097,-79.2353,72.99,89,90,10.0
108,New Norfolk,AU,2021-09-22 22:44:06,-42.7826,147.0587,60.93,62,88,8.01
109,Muzhi,RU,2021-09-22 22:45:57,65.3667,64.6667,37.15,86,37,10.33
110,Petropavlovsk-Kamchatskiy,RU,2021-09-22 22:45:58,53.0452,158.6483,41.59,75,0,4.47
