City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Vanimo,PG,81.01,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
130,Shimoda,JP,75.31,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
133,Katsuura,JP,70.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
134,Griffith,US,79.39,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
135,Acari,PE,67.71,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
139,Saint Anthony,US,82.26,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
140,Arraial Do Cabo,BR,69.71,clear sky,-22.9661,-42.0278,Pousada Porto Praia
141,Xiaoweizhai,CN,66.96,clear sky,26.1903,107.5125,Karst Youth Hostel
142,North Myrtle Beach,US,77.29,overcast clouds,33.816,-78.68,Avista Resort
143,Nanakuli,US,89.55,scattered clouds,21.3906,-158.1547,Camp Pālehua
145,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
146,Ranau,MY,70.45,overcast clouds,5.9538,116.6641,The Second Room
147,Warangal,IN,75.54,broken clouds,18.0,79.5833,Supreme Hotels
148,Mocuba,MZ,69.8,few clouds,-16.8392,36.9856,Phama Lodge
151,Balkanabat,TM,62.38,few clouds,39.5108,54.3671,Nebitchi Hotel
154,Faanui,PF,79.45,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
156,Kavieng,PG,83.34,light rain,-2.5744,150.7967,Nusa Island Retreat
157,Fukue,JP,75.56,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
161,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
163,Bathsheba,BB,83.1,overcast clouds,13.2167,-59.5167,Atlantis Hotel
164,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
165,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
170,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
174,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
175,Cape Town,ZA,61.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
177,Hithadhoo,MV,81.1,broken clouds,-0.6,73.0833,Scoop Guest House
178,Bouar,CF,67.1,light rain,5.934,15.596,Motel de l'UNITE
180,Portland,US,62.58,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
181,Bastia,FR,70.03,clear sky,42.6667,9.3333,Hotel Santa Maria
183,Kibala,TD,75.47,broken clouds,9.1104,18.3463,hotel safari
184,Lufilufi,WS,81.55,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
185,Mumford,GH,77.18,light rain,5.2618,-0.759,Spanish Villa
186,Gudur,IN,82.08,scattered clouds,14.1333,79.85,BALAJI KITCHENS
188,Santa Rita,BR,74.14,few clouds,-7.1139,-34.9781,Infinity Motel
194,Rock Sound,BS,81.82,clear sky,24.9,-76.2,Rock Sound Club
197,Denpasar,ID,76.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
198,Troy,US,69.91,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
199,Huarmey,PE,66.81,broken clouds,-10.0681,-78.1522,Hotel Miramar
201,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
204,Paragominas,BR,75.69,broken clouds,-2.9667,-47.4833,INOVA
205,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
206,Ashta,IN,73.62,broken clouds,23.0167,76.7167,Digambar Jain Dharamshala
207,Biltine,TD,83.08,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
208,Camacha,PT,68.76,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
210,Sambava,MG,67.96,few clouds,-14.2667,50.1667,Melrose
211,Lithgow,AU,60.08,broken clouds,-33.4833,150.15,Zig Zag Motel Lithgow
212,Sao Felix Do Xingu,BR,74.44,light rain,-6.6447,-51.995,Rio Xingu Camping
214,Makakilo City,US,88.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
216,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
217,Gilbues,BR,86.31,broken clouds,-9.8317,-45.3439,Hotel Camapuã
218,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
221,Bireun,ID,75.56,light rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
226,Puri,IN,83.37,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
228,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
229,Oussouye,SN,79.81,scattered clouds,12.485,-16.5469,Auberge du Routard
230,Huilong,CN,71.92,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
235,Karratha,AU,72.91,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
237,Seminole,US,83.37,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
241,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
243,Villa Carlos Paz,AR,65.39,clear sky,-31.4241,-64.4978,Monte Carlo
