City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yongan,CN,39.6957,113.6871,50.43,56,7,1.19,clear sky
80,Ingham,US,42.6,-84.3833,69.28,69,1,4.61,clear sky
81,Homer,US,59.6425,-151.5483,46.29,57,90,10.36,overcast clouds
82,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,26,8.01,scattered clouds
83,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,90,8.05,light rain
84,Tautira,PF,-17.7333,-149.15,84.22,77,22,16.33,light rain
85,Esperance,AU,-33.8667,121.9,60.89,70,7,7.45,clear sky
86,Saint-Francois,FR,46.4154,3.9054,44.04,96,5,2.3,clear sky
87,San Cristobal,VE,7.7669,-72.225,69.12,88,52,4.23,broken clouds
88,Biysk,RU,52.5364,85.2072,39.69,93,98,5.88,light rain
89,Aragarcas,BR,-15.8975,-52.2508,82.58,48,39,3.67,scattered clouds
90,Hualmay,PE,-11.0964,-77.6139,65.95,80,31,10.11,scattered clouds
91,Provideniya,RU,64.3833,-173.3,35.71,60,75,17.9,broken clouds
92,Luderitz,NA,-26.6481,15.1594,54.86,98,27,8.32,scattered clouds
93,Ayan,RU,56.45,138.1667,47.25,78,94,3.47,overcast clouds
94,Nsukka,NG,6.8561,7.3927,71.04,94,88,4.21,light rain
95,Ponta Do Sol,PT,32.6667,-17.1,72.72,69,11,8.28,few clouds
96,Traverse City,US,44.7631,-85.6206,67.73,68,75,5.75,broken clouds
97,Grajau,BR,-5.8194,-46.1386,79.32,66,38,3.8,scattered clouds
98,Goderich,CA,43.7501,-81.7165,59.92,71,4,9.19,clear sky
99,Cascais,PT,38.6979,-9.4215,65.61,61,63,11.99,broken clouds
100,Pisco,PE,-13.7,-76.2167,62.02,89,41,8.28,scattered clouds
101,Ancud,CL,-41.8697,-73.8203,45.54,63,12,4.88,few clouds
102,Sakaiminato,JP,35.55,133.2333,75.18,73,40,11.5,scattered clouds
103,Qaanaaq,GL,77.484,-69.3632,27.59,88,100,13.31,overcast clouds
104,Almeirim,BR,-1.5233,-52.5817,79.2,73,81,3.2,broken clouds
105,Mount Isa,AU,-20.7333,139.5,78.57,21,18,12.66,few clouds
106,Aliwal North,ZA,-30.6937,26.7114,54.77,90,35,6.15,light rain
107,Geraldton,AU,-28.7667,114.6,64.81,94,40,11.5,scattered clouds
108,Jalu,LY,29.0331,21.5482,74.64,62,22,9.93,few clouds
109,Guerrero Negro,MX,27.9769,-114.0611,73.72,54,0,11.54,clear sky
110,Meulaboh,ID,4.1363,96.1285,76.6,90,100,8.5,light rain
111,Navlya,RU,52.8281,34.4989,39.58,90,6,3.74,clear sky
112,Boyabat,TR,41.4689,34.7667,49.53,87,33,4.03,scattered clouds
113,Stavern,NO,59.0,10.0333,51.44,98,93,10.13,overcast clouds
114,Aberdeen,GB,57.1437,-2.0981,52.21,99,64,3.44,broken clouds
115,Cidreira,BR,-30.1811,-50.2056,65.46,79,100,26.11,moderate rain
116,Kozelsk,RU,54.0375,35.7716,39.49,91,0,2.62,clear sky
117,Plouzane,FR,48.3833,-4.6167,60.98,94,90,19.57,mist
118,Dir,PK,35.2058,71.8756,65.37,83,3,4.52,clear sky
119,Dudinka,RU,69.4058,86.1778,27.75,97,97,9.15,overcast clouds
120,Atuona,PF,-9.8,-139.0333,78.42,66,8,17.25,clear sky
121,Tura,IN,25.5198,90.2201,73.53,83,100,2.17,overcast clouds
122,Kodinsk,RU,58.6881,99.1844,31.62,91,60,4.18,broken clouds
123,Dukat,RU,62.55,155.55,21.9,91,100,5.99,snow
124,Mahebourg,MU,-20.4081,57.7,72.25,75,34,14.14,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,70.79,82,51,11.45,broken clouds
126,Ahuimanu,US,21.4447,-157.8378,89.31,65,40,18.41,scattered clouds
127,Bengkulu,ID,-3.8004,102.2655,74.17,88,100,3.8,light rain
128,Vanimo,PG,-2.6741,141.3028,81.01,80,100,2.51,light rain
129,Barrow,US,71.2906,-156.7887,28.42,80,75,11.5,broken clouds
130,Shimoda,JP,34.6667,138.95,75.31,93,100,33.96,heavy intensity rain
131,Saint-Denis,FR,48.9167,2.3333,56.1,66,0,1.01,clear sky
132,Tiksi,RU,71.6872,128.8694,29.3,74,83,5.08,broken clouds
133,Katsuura,JP,35.1333,140.3,70.11,96,100,31.05,overcast clouds
134,Griffith,US,41.5284,-87.4237,79.39,59,1,5.75,clear sky
135,Acari,PE,-15.4311,-74.6158,67.71,71,11,5.41,few clouds
136,Chokurdakh,RU,70.6333,147.9167,16.0,91,54,9.19,broken clouds
137,Half Moon Bay,US,37.4636,-122.4286,92.91,22,1,0.0,clear sky
138,Kodiak,US,57.79,-152.4072,51.31,40,75,9.22,light rain
139,Saint Anthony,US,45.0205,-93.218,82.26,68,1,5.75,clear sky
140,Arraial Do Cabo,BR,-22.9661,-42.0278,69.71,89,7,8.93,clear sky
141,Xiaoweizhai,CN,26.1903,107.5125,66.96,95,1,1.05,clear sky
142,North Myrtle Beach,US,33.816,-78.68,77.29,83,88,1.99,overcast clouds
143,Nanakuli,US,21.3906,-158.1547,89.55,52,40,9.22,scattered clouds
144,Bethel,US,41.3712,-73.414,59.56,79,75,0.0,broken clouds
145,Praia,CV,14.9215,-23.5087,79.34,83,20,10.36,few clouds
146,Ranau,MY,5.9538,116.6641,70.45,95,94,0.54,overcast clouds
147,Warangal,IN,18.0,79.5833,75.54,89,62,0.56,broken clouds
148,Mocuba,MZ,-16.8392,36.9856,69.8,97,21,2.44,few clouds
149,Romanovskaya,RU,47.5426,42.0285,41.16,55,3,8.3,clear sky
150,Bluff,NZ,-46.6,168.3333,52.81,78,67,21.45,broken clouds
151,Balkanabat,TM,39.5108,54.3671,62.38,42,17,8.03,few clouds
152,Konevo,RU,62.1215,39.3192,46.51,96,100,3.71,overcast clouds
153,Mackenzie,CA,55.2999,-123.1698,54.82,58,50,11.97,scattered clouds
154,Faanui,PF,-16.4833,-151.75,79.45,71,2,17.34,clear sky
155,Mackay,AU,-21.15,149.2,77.68,73,54,9.91,broken clouds
156,Kavieng,PG,-2.5744,150.7967,83.34,75,92,10.89,light rain
157,Fukue,JP,32.6881,128.8419,75.56,88,40,16.11,scattered clouds
158,Dunedin,NZ,-45.8742,170.5036,59.81,59,24,9.17,few clouds
159,Preobrazheniye,RU,42.9019,133.9064,58.51,79,65,7.74,moderate rain
160,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,81,75,6.71,light rain
161,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,31,13.98,scattered clouds
162,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,18.41,overcast clouds
163,Bathsheba,BB,13.2167,-59.5167,83.1,73,97,13.76,overcast clouds
164,Alice Springs,AU,-23.7,133.8833,65.75,24,0,0.0,clear sky
165,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
166,Shimanovsk,RU,52.0,127.7,34.25,85,86,8.23,overcast clouds
167,Haines Junction,CA,60.7522,-137.5108,41.23,64,99,3.31,overcast clouds
168,Chapais,CA,49.7834,-74.8492,47.79,66,99,4.52,overcast clouds
169,Honningsvag,NO,70.9821,25.9704,46.22,77,13,15.17,few clouds
170,Kudahuvadhoo,MV,2.6708,72.8944,82.04,70,91,8.12,overcast clouds
171,Port Hardy,CA,50.6996,-127.4199,54.99,86,90,5.61,light rain
172,Stornoway,GB,58.2093,-6.3865,51.93,87,40,6.91,scattered clouds
173,Qasigiannguit,GL,68.8193,-51.1922,28.65,79,100,4.63,overcast clouds
